gene,SI_15001,SI_15002,SI_15003,SI_15004,SI_16462,SI_16463,SI_16464,SI_16465,SI_16466,SI_16467,SI_16468,GTEX.1117F.0226.SM.5GZZ7,GTEX.1117F.0426.SM.5EGHI,GTEX.1117F.0526.SM.5EGHJ,GTEX.1117F.0626.SM.5N9CS,GTEX.1117F.0726.SM.5GIEN,GTEX.1117F.1326.SM.5EGHH,GTEX.1117F.2426.SM.5EGGH,GTEX.1117F.2526.SM.5GZY6,GTEX.1117F.2826.SM.5GZXL,GTEX.1117F.2926.SM.5GZYI
ENSP00000351686,1940,951,1391,1590,817,324,1118,1246,520,1571,600,844,530,748,750,445,737,736,1590,943,965
ENSP00000435976,690,564,383,556,195,68,782,317,188,1145,266,629,490,1140,1646,884,441,1793,1588,988,459
ENSP00000431410,1603,804,1285,1219,731,360,1349,1330,267,1337,357,1133,443,1198,752,403,546,1008,1258,855,744
ENSP00000312352,17751,8582,14242,11807,8280,4705,4086,17707,5046,14063,7092,5423,3791,3993,5043,2631,1989,4972,5487,4318,3411
ENSP00000264808,512,412,437,476,556,109,285,388,157,332,465,629,122,525,634,386,269,784,471,472,215
ENSP00000423985,168,84,211,436,134,202,43,407,118,165,65,1803,177,925,696,327,418,1768,395,869,698
ENSP00000335675,1924,1388,3375,727,869,186,165,313,566,741,446,134,38,103,172,100,169,107,204,198,135
ENSP00000391456,7976,4944,5417,4375,4462,1098,1253,2154,1689,4934,2393,1652,1446,2911,4501,3057,1884,3159,3038,2413,1542
ENSP00000431330,16,188,20,27,1952,1305,22,12599,197,19,9,9878,82,724,618,67,1831,65,91,1315,90
ENSP00000380317,7167,3760,6500,3074,3464,869,1293,2961,1396,3729,1816,6813,2278,7318,5565,2381,3709,3400,3413,5720,2970
ENSP00000502958,3501,2618,3047,2554,1913,351,745,2629,808,2025,910,5057,11336,4587,6106,8069,4200,3427,4189,6294,3147
ENSP00000359723,1709,1269,1158,1355,1071,409,184,572,572,1426,605,667,342,1112,2355,1161,1284,1180,563,982,446
ENSP00000465445,9743,7951,7691,8753,7145,1536,2463,10892,3701,5677,4747,11367,9396,9094,16917,18895,17844,8737,10864,17497,9137
ENSP00000263125,459,312,566,461,224,183,176,272,230,341,147,100,3642,46,84,72,210,37,89,32,70
ENSP00000503072,6608,5757,14640,7149,4703,1641,3786,7073,3286,5469,3561,11611,3829,7925,10071,6917,8644,10801,12171,10500,11761
ENSP00000469106,5437,3466,6643,5342,2409,935,4043,3712,1664,5109,1595,6556,1336,4635,3882,1815,3856,3440,6642,6513,6410
ENSP00000313420,23963,13952,21835,18846,11786,3413,5485,15013,4945,10387,7132,7117,4669,4681,5035,3403,3770,5454,7067,5820,4565
ENSP00000439967,129,21,108,50,992,1,0,128,33,7,12,555,2,8,6,508,10,0,135,79,309
ENSP00000419270,1928,1054,1618,2574,1229,475,1347,1092,460,2093,756,2644,1044,3021,1973,1248,1178,2248,2410,1835,1863
ENSP00000432349,1607,1382,2564,1322,1295,366,2009,2204,758,1846,678,2437,4099,2891,4232,4191,3962,4606,5538,4517,3887
ENSP00000510630,953,624,1144,1289,607,249,567,455,392,1237,351,1611,982,1005,1663,923,900,1986,1753,1622,1339
ENSP00000399376,2113,1752,2975,2062,1333,631,647,3076,1236,1263,1451,5818,3199,4753,5912,4718,4494,5886,6950,4265,7074
ENSP00000416033,241,305,590,412,141,66,547,446,108,331,99,187,3173,149,319,806,274,212,182,478,60
ENSP00000392606,213,95,7,13,7,93,243,27,12,7,22,4,3,6,20,10,2,20,26,5,2
