gene,TCGA.D7.5577.01A,TCGA.D7.6818.01A,TCGA.BR.4280.01A,TCGA.D7.8572.01A,GTEX.1399T.1326.SM.5PNVH,GTEX.13OVL.0011.R3b.SM.5L3I8,GTEX.Q2AI.0006.SM.2I3FG,GTEX.ZTSS.1226.SM.51MSZ
ENSP00000359594,1,2,22,4,159,100,0,0
ENSP00000433953,178,212,170,339,0,0,0,0
ENSP00000336741,399,353,483,440,232,632,0,232
ENSP00000389598,2,4,8,21,0,0,0,0
ENSP00000409542,7,198,7,27,0,0,0,0
ENSP00000368062,51,167,18,46,0,0,0,0
ENSP00000480207,230,209,254,247,0,0,0,0
ENSP00000400756,0,0,1,7,0,0,0,0
ENSP00000319255,212,158,183,203,662,678,234,705
ENSP00000496339,30,411,37,77,495,495,0,346
ENSP00000328524,133,284,186,314,121,0,0,0
ENSP00000429690,635,639,624,601,0,0,0,0
ENSP00000260723,27,27,18,33,1216,973,1387,1251
ENSP00000262384,331,314,316,340,359,452,0,459
ENSP00000380257,23,25,29,30,0,0,0,0
ENSP00000356795,73,89,73,65,0,0,0,0
ENSP00000295683,35,135,66,81,0,0,0,0
ENSP00000454287,17,70,5,79,0,0,0,0
ENSP00000457544,0,43,56,1,0,0,0,0
ENSP00000347507,1,0,4,6,820,552,586,918
ENSP00000202017,392,352,352,267,0,0,0,0
ENSP00000370129,20,94,47,32,0,0,0,0
ENSP00000342952,7,152,3,49,0,0,0,0
ENSP00000297313,2,37,4,25,0,0,0,0
ENSP00000503539,703,603,718,690,232,0,0,159
ENSP00000375951,285,239,283,355,100,0,0,0
ENSP00000374895,88,31,50,47,317,904,0,200
ENSP00000296503,523,498,508,522,0,0,0,100
ENSP00000340402,0,0,0,0,481,135,0,324
ENSP00000316176,440,376,450,444,1193,1076,1061,1258
ENSP00000410226,119,99,146,140,292,273,135,100
ENSP00000379494,12,30,14,43,100,0,0,0
ENSP00000473056,0,0,11,0,1098,1130,995,1135
ENSP00000363868,286,280,205,329,973,834,904,1027
ENSP00000410621,0,0,0,0,0,0,0,0
ENSP00000412761,375,287,404,398,0,0,0,0
ENSP00000360762,77,1,6,163,0,0,0,0
ENSP00000359640,108,40,145,132,1105,864,802,1293
ENSP00000274813,305,354,290,320,0,0,0,0
ENSP00000356602,290,302,377,384,425,412,0,359
ENSP00000290399,267,115,159,227,0,0,0,0
ENSP00000444742,377,371,398,351,0,0,0,0
ENSP00000464789,300,208,247,232,1023,968,890,1072
ENSP00000222381,0,12,1,13,0,0,0,0
ENSP00000322731,338,223,420,332,1123,1102,828,1183
ENSP00000431330,5,178,10,39,0,0,0,0
ENSP00000483020,9,40,7,69,0,0,0,0
ENSP00000430040,1,3,3,143,100,100,0,0
ENSP00000455350,256,232,295,311,464,464,0,200
