Gene	Terms
RAD54L	GO:0004386,GO:0005524,GO:0016787,GO:0140658,GO:0006338
KCNMB3	GO:0015269,GO:0015459,GO:0005513,GO:0071805,GO:0008076
LAMTOR4	GO:0032008,GO:0071230,GO:0071986
SENP3	GO:0008234,GO:0006508
ZNF268	GO:0006355
ZMYND8	GO:0046872,GO:0006355,GO:0005654,GO:0005730
A0A087WV58	GO:0052918,GO:0052918,GO:0052926,GO:0052926,GO:0006486,GO:0005789
NPIPB11	GO:0016020
CYFIP2	GO:0031267,GO:0030833
UBXN8	GO:0036503,GO:0005654,GO:0005730,GO:0005783,GO:0016020
TARDBP	GO:0003723,GO:0005634
PER3	GO:0005737
CLTCL1	GO:0006886,GO:0016192,GO:0012505
ZNF407	GO:0046872,GO:0005634
IFI27	GO:0006915,GO:0016020
DMD	GO:0003779,GO:0008270,GO:0005737,GO:0005856,GO:0042383,GO:0045211
CYP3A7-CYP3A51P	GO:0005506,GO:0016712,GO:0020037,GO:0005789
SMAP2	GO:0005096,GO:0005654,GO:0005829
ZNF658	GO:0046872,GO:0006355,GO:0005634
ZNF33B	GO:0006355,GO:0005634
IQCA1L	GO:0005524,GO:0016887
CKLF-CMTM1	GO:0016020
EIF2D	GO:0003743,GO:0001731
SHOX2	GO:0000981,GO:0003677,GO:0006357,GO:0005634
EIF3K	GO:0003723,GO:0003743,GO:0043022,GO:0001732,GO:0006446,GO:0005634,GO:0005829,GO:0005852,GO:0016282,GO:0033290
ALG9	GO:0052918,GO:0052918,GO:0052926,GO:0052926,GO:0006486,GO:0005789
ANK3	GO:0007165
FAM156A	GO:0035064
PRKACB	GO:0004679,GO:0004691,GO:0005524
NBPF10	GO:0016020
FAM156A	GO:0035064
LENG9	GO:0046872
IVD	GO:0003995,GO:0050660
ANTXRL	GO:0038023,GO:0016020
AK6	GO:0004017,GO:0005524,GO:0016887,GO:0006364,GO:0046940
CYFIP2	GO:0031267,GO:0030833,GO:0005737,GO:0045202
SNX9	GO:0005829,GO:0005886
DCP1A	GO:0008047,GO:0000290,GO:0005737,GO:0043229
ATP11A	GO:0046872
ARK2N	GO:0005634
CHD1	GO:0003677,GO:0004386,GO:0005524,GO:0016787,GO:0140658,GO:0006338,GO:0005634
CYP4F8	GO:0016020
DZANK1	GO:0042995
PCGF3	GO:0016020
HM13	GO:0042500,GO:0016020
ZNF700	GO:0046872,GO:0006355
DEUP1	GO:0030030,GO:0005737
TMC4	GO:0034220,GO:0005886
MUC1	GO:0005634,GO:0005737,GO:0016324
FMR1	GO:0003729,GO:0006397,GO:0006417,GO:0007399,GO:0008380,GO:0051028,GO:0000775,GO:0005730,GO:0010494,GO:0030426,GO:0032433,GO:0042734,GO:0043197,GO:0043204,GO:0048471,GO:1990904
MTHFD1L	GO:0004329,GO:0004488,GO:0005524,GO:0035999,GO:0005739
EMG1	GO:0019843,GO:0070037,GO:0070475
SUSD3	GO:0016020
FDPS	GO:0016765,GO:0008299,GO:0005654,GO:0005829
POLR2E	GO:0003677,GO:0003899,GO:0006351
TRIM49D1	GO:0008270
STK4	GO:0004674,GO:0005524,GO:0006915,GO:0007165,GO:0051262,GO:0005654,GO:0005829,GO:0016604
FRMD5	GO:0016020
NUDT7	GO:0010945
PHF23	GO:0005634
PDE4DIP	GO:0005516,GO:0000226,GO:0005794,GO:0005815
CLTC	GO:0005198,GO:0032051,GO:0006886,GO:0016192,GO:0005764,GO:0005768,GO:0072686,GO:0030130,GO:0030132,GO:0071439
EEF1A1	GO:0003746,GO:0003924,GO:0005525,GO:0006414,GO:0005737
LTBP4	GO:0005509
TMCO3	GO:0015386,GO:0071805,GO:1902600,GO:0016020
UHRF1	GO:0003677,GO:0042393,GO:0046872,GO:0061630,GO:0016567,GO:0005654
CPEB1	GO:0003730,GO:0045182,GO:0006417
CNDP2	GO:0004180
NRSN2	GO:0030133
INPP5J	GO:0004445,GO:0052658,GO:0052659,GO:0046856
ZNF48	GO:0046872,GO:0005634
AOAH	GO:0050528
SCAMP4	GO:0015031,GO:0016020
SSBP3	GO:0003697,GO:0003713,GO:0002244,GO:0008284,GO:0021501,GO:0021547,GO:0045944,GO:0048382,GO:0060323,GO:0065003,GO:2000744,GO:0005634,GO:0005667
KCP	GO:0002244,GO:0030513,GO:0005615
NME4	GO:0004550,GO:0005524,GO:0005739
NCAM1	GO:0005829,GO:0005886
PSMB2	GO:0051603,GO:0005634,GO:0005839
MYO19	GO:0003774,GO:0003779,GO:0005524,GO:0016459
LTBP4	GO:0005509
PPARGC1A	GO:0003712,GO:0005634
RAD54L	GO:0004386,GO:0005524,GO:0016787,GO:0140658,GO:0006338
